Sample;P1handcategory;P1handrank;P1coin;P1averageraise;P1raiseratio;P2handcategory;P2handrank;P2coin;P2averageraise;P2raiseratio;P1action1;P1raisecoin1;P2action1;P2raisecoin1;P1action2;P1raisecoin2;P2action2;P2raisecoin2;P1action3;P1raisecoin3;P2action3;P2raisecoin3;P1action4;P1raisecoin4;P2action4;P2raisecoin4;P1numberofraises;P2numberofraises;P1finalaction;P2finalaction
155;HighCard;6;36;5;0,416666666666667;3ofakind;3;219;8,66666666666667;0,118721461187215;Raise;5;Raise;10;Raise;7;Raise;14;Raise;1;Raise;2;Call;2;;;3;3;Call;Raise
156;TwoPairs;Q;201;100,5;1;flush;3;434;25;0,115207373271889;Raise;5;Raise;10;Raise;20;Raise;40;AllIn;176;;;;;;;2;2;AllIn;Raise
157;HighCard;7;148;20;0,27027027027027;straight;7;361;45;0,124653739612188;Raise;5;Raise;10;Raise;35;Call;35;;;;;;;;;2;1;Raise;Call
158;straight;A;311;12,5;0,080385852090032;OnePair;6;194;10;0,051546391752577;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
159;OnePair;T;270;12,5;0,092592592592593;flush;T;400;30;0,075;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
160;OnePair;6;329;12,5;0,075987841945289;TwoPairs;K;485;30;0,061855670103093;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
161;OnePair;8;300;12,5;0,083333333333333;flush;5;495;25;0,101010101010101;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
162;straightflush;6;348;12,5;0,07183908045977;OnePair;3;119;10;0,084033613445378;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
163;OnePair;5;290;12,5;0,086206896551724;flush;7;495;25;0,101010101010101;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
164;flush;T;336;12,5;0,074404761904762;OnePair;2;119;10;0,084033613445378;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
165;TwoPairs;K;188;12,5;0,132978723404255;straight;3;461;25;0,108459869848156;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
166;HighCard;9;163;31,3333333333333;0,576687116564417;straight;J;359;51,5;0,286908077994429;Raise;5;Raise;10;Raise;4;Raise;8;Raise;85;Call;85;;;;;3;2;Raise;Call
167;straightflush;2;251;12,5;0,099601593625498;TwoPairs;Q;104;30;0,288461538461538;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
168;HighCard;4;193;53,5;0,55440414507772;HighCard;A;117;10;0,085470085470086;Raise;5;Raise;10;Raise;102;Fold;0;;;;;;;;;2;1;Raise;Fold
169;TwoPairs;J;197;12,5;0,126903553299492;fullhouse;K;355;30;0,084507042253521;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
170;4ofakind;J;412;12,5;0,060679611650486;TwoPairs;Q;76;30;0,394736842105263;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
171;OnePair;J;170;17;0,2;straight;4;415;39;0,093975903614458;Raise;5;Raise;10;Raise;29;Call;29;;;;;;;;;2;1;Raise;Call
172;straight;9;218;12,5;0,114678899082569;TwoPairs;J;50;50;1;Raise;5;Raise;10;Raise;20;AllIn;40;;;;;;;;;2;1;Raise;AllIn
173;OnePair;J;123;42,5;0,691056910569106;TwoPairs;J;381;50,5;0,26509186351706;Raise;5;Raise;10;Raise;80;Raise;91;Fold;0;;;;;;;2;2;Fold;Raise
174;straightflush;7;443;12,5;0,056433408577878;OnePair;3;186;10;0,053763440860215;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
175;3ofakind;9;440;32,5;0,147727272727273;TwoPairs;A;250;25;0,2;Raise;5;Raise;10;Raise;20;Raise;40;Call;40;;;;;;;2;2;Call;Raise
176;4ofakind;A;272;12,5;0,091911764705882;HighCard;K;157;10;0,063694267515924;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
177;4ofakind;2;455;12,5;0,054945054945055;OnePair;7;174;10;0,057471264367816;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
178;OnePair;Q;263;77;0,585551330798479;straight;5;389;159;0,408740359897172;Raise;5;Raise;10;Raise;149;Call;149;;;;;;;;;2;1;Raise;Call
179;HighCard;2;119;32;0,53781512605042;fullhouse;4;485;69;0,142268041237113;Raise;5;Raise;10;Raise;59;Call;59;;;;;;;;;2;1;Raise;Call
180;TwoPairs;T;260;130;1;straightflush;9;441;25;0,113378684807256;Raise;5;Raise;10;Raise;20;Raise;40;AllIn;235;;;;;;;2;2;AllIn;Raise
181;OnePair;T;427;12,5;0,058548009367682;OnePair;2;112;10;0,089285714285714;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
182;HighCard;A;304;12,5;0,082236842105263;HighCard;A;111;10;0,09009009009009;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
183;OnePair;Q;431;168,5;0,781902552204176;OnePair;J;73;57;0,780821917808219;Raise;5;Raise;57;Raise;332;Fold;0;;;;;;;;;2;1;Raise;Fold
184;HighCard;2;91;8,33333333333333;0,274725274725275;fullhouse;J;492;11,3333333333333;0,069105691056911;Raise;5;Raise;10;Raise;8;Raise;16;Raise;4;Raise;8;Call;8;;;3;3;Call;Raise
185;straightflush;7;414;12,5;0,060386473429952;TwoPairs;A;194;194;1;Raise;5;Raise;10;Raise;20;AllIn;184;;;;;;;;;2;1;Raise;AllIn
186;HighCard;J;126;23,5;0,373015873015873;HighCard;Q;221;10;0,045248868778281;Raise;5;Raise;10;Raise;42;Fold;0;;;;;;;;;2;1;Raise;Fold
187;straight;8;416;12,5;0,060096153846154;TwoPairs;A;81;30;0,37037037037037;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
188;HighCard;7;136;49;0,720588235294118;flush;8;438;103;0,235159817351598;Raise;5;Raise;10;Raise;93;Call;93;;;;;;;;;2;1;Raise;Call
189;flush;9;391;12,5;0,063938618925831;OnePair;7;139;10;0,071942446043166;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
190;TwoPairs;K;73;12,5;0,342465753424657;flush;Q;308;30;0,097402597402597;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
191;HighCard;Q;245;12,5;0,102040816326531;4ofakind;Q;434;25;0,115207373271889;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
192;3ofakind;9;483;12,5;0,05175983436853;OnePair;6;165;10;0,060606060606061;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
193;fullhouse;3;430;32,5;0,151162790697674;TwoPairs;J;214;25;0,233644859813084;Raise;5;Raise;10;Raise;20;Raise;40;Call;40;;;;;;;2;2;Call;Raise
194;TwoPairs;K;169;84,5;1;straight;4;490;25;0,102040816326531;Raise;5;Raise;10;Raise;20;Raise;40;AllIn;144;;;;;;;2;2;AllIn;Raise
195;OnePair;7;227;12,5;0,110132158590308;4ofakind;T;343;30;0,087463556851312;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
196;HighCard;A;243;12,5;0,102880658436214;4ofakind;K;474;25;0,105485232067511;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
197;HighCard;A;455;12,5;0,054945054945055;OnePair;8;150;10;0,066666666666667;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
198;HighCard;4;104;52;1;straight;K;466;25;0,107296137339056;Raise;5;Raise;10;Raise;20;Raise;40;AllIn;79;;;;;;;2;2;AllIn;Raise
199;HighCard;T;191;58;0,607329842931937;OnePair;6;228;10;0,043859649122807;Raise;5;Raise;10;Raise;111;Fold;0;;;;;;;;;2;1;Raise;Fold
